"","genes","res"
"912","ZNF853","r25"
"913","PARVG","r25"
"914","RNASE6","r25"
"915","SRCIN1","r25"
"916","GTDC1","r25"
"917","SNRK","r25"
"918","CRNN","r25"
"919","LOC100288152","r25"
"920","ADGRE2","r25"
"921","AIF1","r25"
"922","EPDR1","r25"
"923","URAHP","r25"
"924","OGFRL1","r25"
"925","PRKCB","r25"
"926","GAMT","r25"
"927","PELI1","r25"
"928","KHDC1L","r25"
"929","LPAR6","r25"
"930","ARPC5","r25"
"931","PTPN12","r25"
"932","C1orf158","r25"
"933","IL1RAP","r25"
"934","CAPZA2","r25"
"935","TUBB4B","r25"
"936","LOC101929626","r25"
"937","INA","r25"
"938","FAM45B","r25"
"939","TMEM45B","r25"
"940","CMKLR1","r25"
"941","PCAT18","r25"
"942","MIR8085","r25"
"943","ANKRD36C","r25"
"944","FRMD4B","r25"
"945","RASA2","r25"
"946","REEP2","r25"
"947","DMRT2","r25"
"948","MID1IP1-AS1","r25"
"949","GPR141","r25"
"950","RUVBL2","r25"
"951","ECM1","r25"
"952","DOCK10","r25"
"953","ALDH1A2","r25"
"954","GCNT7","r25"
"955","ATP2B1","r25"
"956","ALOX12B","r25"
"957","TTC21A","r25"
"958","CD53","r25"
"959","PDE1B","r25"
"960","UNC119B","r25"
"961","CAPNS2","r25"
"962","RAB36","r25"
"963","ANTXR2","r25"
"964","VNN1","r25"
"965","MS4A4A","r25"
"966","ATP13A4","r25"
"967","RAPGEF6","r25"
"968","COL5A3","r25"
"969","CAPZA1","r25"
"970","HSPB8","r25"
"971","GPBAR1","r25"
"972","ABCA1","r25"
"973","CEP135","r25"
"974","LAMP2","r25"
"975","MAB21L3","r25"
"976","ADAMTS18","r25"
"977","TAOK3","r25"
"978","FAM157B","r25"
"979","DOK3","r25"
"980","SNX6","r25"
"981","PTENP1","r25"
"982","OVOL1","r25"
"983","EGR2","r25"
"984","TMEM150B","r25"
"985","GAB1","r25"
"986","ADAMTS1","r25"
"987","S100A12","r25"
"988","LOC101929771","r25"
"989","ROCK1","r25"
"990","PXK","r25"
"991","PHF20L1","r25"
"992","IFNGR1","r25"
"993","PRB4","r25"
"994","PRRT3-AS1","r25"
"995","GPR156","r25"
"996","MICAL1","r25"
"997","POLB","r25"
"998","TLR7","r25"
"999","KRT6B","r25"
"1000","CAPN11","r25"
"1001","SPEG","r25"
"1002","FLRT2","r25"
"1003","NFIL3","r25"
"1004","WDR73","r25"
"1005","C16orf72","r25"
"1006","SYBU","r25"
"1007","PCDH10","r25"
"1008","CST1","r26"
"1009","HBA1","r26"
"1010","HBA2","r26"
"1011","TMEM232","r26"
"1012","WDR78","r26"
"1013","CFAP53","r26"
"1014","GIPC2","r26"
"1015","MYCT1","r26"
"1016","CST2","r26"
"1017","ERICH6-AS1","r26"
"1018","LMNTD1","r26"
"1019","DNAH11","r26"
"1020","PIH1D2","r26"
"1021","DNAH6","r26"
"1022","C4orf47","r26"
"1023","TEKT3","r26"
"1024","IQCG","r26"
"1025","LINC00326","r26"
"1026","CCDC181","r26"
"1027","FAM227B","r26"
"1028","DNAH5","r26"
"1029","STK33","r26"
"1030","CFAP70","r26"
"1031","MAATS1","r26"
"1032","CST4","r26"
"1033","TMEM212","r26"
"1034","DNAH7","r26"
"1035","HBB","r26"
"1036","WDR63","r26"
"1037","LINC01564","r26"
"1038","SPATA4","r26"
"1039","SAMD15","r26"
"1040","FSIP1","r26"
"1041","ABCD2","r26"
"1042","ADGB","r26"
"1043","ERICH3","r26"
"1044","IFT57","r26"
"1045","ENKUR","r26"
"1046","FAM81A","r26"
"1047","ERBB4","r26"
"1048","MRPS31","r26"
"1049","MAT1A","r26"
"1050","CAP2","r26"
"1051","IQUB","r26"
"1052","LCA5L","r26"
"1053","ULK4","r26"
"1054","ADH6","r26"
"1055","ACYP1","r26"
"1056","LRRC49","r26"
"1057","ZBBX","r26"
"1058","MORN5","r26"
"1059","ERICH2","r26"
"1060","SPAG17","r26"
"1061","CLUAP1","r26"
"1062","REEP1","r26"
"1063","WDR49","r26"
"1064","CRISP2","r26"
"1065","LOC101928710","r26"
"1066","ARMC2","r26"
"1067","MAP3K19","r26"
"1068","ALS2CR12","r26"
"1069","TTC29","r26"
"1070","IFT172","r26"
"1071","LZTFL1","r26"
"1072","C20orf202","r26"
"1073","DNAJC9-AS1","r26"
"1074","KATNAL2","r26"
"1075","NCALD","r26"
"1076","FHAD1","r26"
"1077","ANKDD1B","r26"
"1078","CCDC176","r26"
"1079","TCTEX1D1","r26"
"1080","TSPAN19","r26"
"1081","NEK5","r26"
"1082","BEST4","r26"
"1083","FAM81B","r26"
"1084","SPEF2","r26"
"1085","MLF1","r26"
"1086","SPTBN5","r26"
"1087","COL28A1","r26"
"1088","EFCAB2","r26"
"1089","RIIAD1","r26"
"1090","CCDC173","r26"
"1091","NEK11","r26"
"1092","CCDC162P","r26"
"1093","CFAP47","r26"
"1094","FAM227A","r26"
"1095","DZIP3","r26"
"1096","TXLNB","r26"
"1097","KAAG1","r26"
"1098","UBD","r26"
"1099","KIF4A","r26"
"1100","TMEM67","r26"
"1101","LRRIQ3","r26"
"1102","TBC1D19","r26"
"1103","FILIP1","r26"
"1104","DPY19L2P2","r26"
"1105","LINC01571","r26"
"1106","LINC01267","r26"
"1107","ZNF833P","r26"
"1108","CCDC37","r26"
"1109","SMC2-AS1","r26"
"1110","MYCBPAP","r26"
"1111","DYNLRB2","r26"
"1112","PPP1R7","r26"
"1113","C5orf49","r26"
"1114","ERICH3-AS1","r26"
"1115","MEAF6","r26"
"1116","FAM183A","r26"
"1117","RAET1E","r26"
"1118","IQCH","r26"
"1119","EPPIN-WFDC6","r26"
"1120","STX2","r26"
"1121","ZNF385D","r26"
"1122","TMEM190","r26"
"1123","ALS2CL","r26"
"1124","C8orf74","r26"
"1125","ENO2","r26"
"1126","MDH1B","r26"
"1127","LOC100422737","r26"
"1128","SALL4","r26"
"1129","CRIP3","r26"
"1130","MEIG1","r26"
"1131","PLBD1-AS1","r26"
"1132","GPX8","r26"
"1133","MGC34796","r26"
"1134","CCDC148-AS1","r26"
"1135","LOC101060498","r26"
"1136","AADACL2-AS1","r26"
"1137","DYX1C1","r26"
"1138","CD19","r26"
"1139","LRRIQ1","r26"
"1140","TTC7B","r26"
"1141","IRAK1BP1","r26"
"1142","GNA14","r26"
"1143","TMEM255A","r26"
"1144","SRD5A2","r26"
"1145","C1orf228","r26"
"1146","DCDC5","r26"
"1147","GDPD4","r26"
"1148","FAM181A-AS1","r26"
"1149","SCG3","r26"
"1150","ABCC6P2","r26"
"1151","WFDC6","r26"
"1152","TREML1","r26"
"1153","ZNF185","r26"
"1154","DNAJB13","r26"
"1155","CCL15","r26"
"1156","DCDC1","r26"
"1157","MNS1","r26"
"1158","NPAS2","r26"
"1159","TRIP13","r26"
"1160","FAM134B","r26"
"1161","ZNF483","r26"
"1162","DUSP19","r26"
"1163","RPGRIP1L","r26"
"1164","CCL15-CCL14","r26"
"1165","FAM161A","r26"
"1166","ALPK3","r26"
"1167","OVOL1-AS1","r26"
"1168","LOC101928973","r26"
"1169","CNTF","r26"
"1170","LOC100505841","r26"
"1171","LINC00240","r26"
"1172","GREB1","r26"
"1173","TTC39C-AS1","r26"
"1174","VEGFA","r26"
"1175","CRNDE","r26"
"1176","WDR38","r26"
"1177","C6orf15","r26"
"1178","LOC100129534","r26"
"1179","CCDC67","r26"
"1180","STAP1","r26"
"1181","IGLL5","r26"
"1182","COL21A1","r26"
"1183","FER1L5","r26"
"1184","FRMPD2","r26"
"1185","RFX3","r26"
"1186","OXTR","r26"
"1187","CAPS","r26"
"1188","C14orf142","r26"
"1189","CPEB1-AS1","r26"
"1190","SERPINB10","r26"
"1191","SLC44A2","r26"
"1192","C16orf93","r26"
"1193","CDH26","r26"
"1194","CDKL2","r26"
"1195","OTUB2","r26"
"1196","LRRC10B","r26"
"1197","FSD1L","r26"
"1198","CLDN25","r26"
"1199","WDPCP","r26"
"1200","DAPK1","r26"
"1201","ESPL1","r26"
"1202","KATNAL1","r26"
"1203","GLIS3","r26"
"1204","TTC41P","r26"
"1205","HIST1H2BN","r26"
"1206","NLRP10","r26"
"1207","STOX1","r26"
"1208","NHLRC4","r26"
"1209","CCDC153","r26"
"1210","ZMYND10","r26"
"1211","C10orf67","r26"
"1212","MIR34B","r26"
"1213","KCNH4","r26"
"1214","AKR1B10","r26"
"1215","GFI1B","r26"
"1216","GUCY2F","r26"
"1217","CCDC78","r26"
"1218","CDKL1","r26"
"1219","IDNK","r26"
"1220","NBEAL2","r26"
"1221","LINC00423","r26"
"1222","CD164L2","r26"
"1223","CCDC42B","r26"
"1224","MAPK15","r26"
"1225","TPPP3","r26"
"1226","TIGD4","r26"
"1227","ARL3","r26"
"1228","ARHGEF10L","r26"
"1229","MIR1234","r26"
"1230","CCDC114","r26"
"1231","TMEM180","r26"
"1232","CLEC12A","r26"
"1233","WDR5B","r26"
"1234","PRLR","r26"
"1235","MYB","r26"
"1236","PPP1R36","r26"
"1237","CFAP36","r26"
"1238","LOC100128317","r26"
"1239","WDR92","r26"
"1240","MIR7106","r26"
"1241","CASC2","r26"
"1242","LOC101929450","r26"
"1243","CATSPERD","r26"
"1244","MIR5004","r26"
"1245","LOC102724094","r26"
"1246","C8orf37-AS1","r26"
"1247","SLC38A6","r26"
"1248","PCDHB14","r26"
"1249","NEK2","r26"
"1250","C9orf24","r26"
"1251","HGFAC","r26"
"1252","DNAL1","r26"
"1253","CTXN1","r26"
"1254","GALK2","r26"
"1255","ASB9","r26"
"1256","MOBP","r26"
"1257","LINC01552","r26"
"1258","CASC1","r26"
"1259","EML2-AS1","r26"
"1260","IRX1","r26"
"1261","C2orf81","r26"
"1262","TCEAL3","r26"
"1263","PPOX","r26"
"1264","PLCH1","r26"
"1265","WDR31","r26"
"1266","OSCP1","r26"
"1267","FAM189A2","r26"
"1268","C2orf40","r26"
"1269","RDH10","r26"
"1270","MXRA8","r26"
"1271","CALML4","r26"
"1272","ANKRD42","r26"
"1273","LOC101927267","r26"
"1274","GSDMA","r26"
"1275","TCP11","r26"
"1276","CYP2A6","r26"
"1277","MYLK","r26"
"1278","CAMK2G","r26"
"1279","RAPGEF3","r26"
"1280","KCTD1","r26"
"1281","CARD14","r26"
"1282","POLR2J3","r26"
"1283","KCNMB2","r26"
"1284","TNRC6C-AS1","r26"
"1285","ANKRD44-IT1","r26"
"1286","PART1","r26"
"1287","SPATA6L","r26"
"1288","TTC22","r26"
"1289","SKAP1","r26"
"1290","TMEM107","r26"
"1291","GRN","r26"
"1292","CERKL","r26"
"1293","SRD5A3-AS1","r26"
"1294","PCDHB6","r26"
"1295","LOC401286","r26"
"1296","SLC22A15","r26"
"1297","GUCY2C","r26"
"1298","SPATA6","r26"
"1299","IFT81","r26"
"1300","MED15P9","r26"
"1301","ABCC6","r26"
"1302","LGMN","r26"
