"","genes","res"
"199","PCDHA8","r25_r26"
"200","TMEM151B","r25_r26"
"201","RPTN","r25_r26"
"202","MS4A7","r25_r26"
"203","CNIH2","r25_r26"
"204","SLC24A4","r25_r26"
"205","TSNAXIP1","r25_r26"
"206","CYP27C1","r25_r26"
"207","SEC14L4","r25_r26"
"208","SAP30","r25_r26"
"209","UFC1","r25_r26"
"210","TEKT1","r25_r26"
"211","MME","r25_r26"
"212","KIF9","r25_r26"
"213","PCDHA5","r25_r26"
"214","LOC101928270","r25_r26"
"215","PLXNC1","r25_r26"
"216","LPPR3","r25_r26"
"217","NPL","r25_r26"
"218","PCDHA6","r25_r26"
"219","DNAJC22","r25_r26"
"220","CFAP221","r25_r26"
"221","TM4SF19-TCTEX1D2","r25_r26"
"222","PHLDA1","r25_r26"
"223","CFAP126","r25_r26"
"224","FAM86B1","r25_r26"
"225","CETN2","r25_r26"
"226","UBXN10","r25_r26"
"227","SELE","r25_r26"
"228","PLEKHB1","r25_r26"
"229","ANKK1","r25_r26"
"230","LRAT","r25_r26"
"231","JAKMIP2-AS1","r25_r26"
"232","CYP3A5","r25_r26"
"233","NAMPT","r25_r26"
"234","GJB1","r25_r26"
"235","STOML3","r25_r26"
"236","KIAA2012","r25_r26"
"237","LRRC23","r25_r26"
"238","MIR5090","r25_r26"
"239","SLC27A2","r25_r26"
"240","EFCAB12","r25_r26"
"241","PCDHA4","r25_r26"
"242","GK","r25_r26"
"243","DOCK11","r25_r26"
"244","TLR6","r25_r26"
"245","C14orf37","r25_r26"
"246","LPCAT2","r25_r26"
"247","CEP72","r25_r26"
"248","MAF","r25_r26"
"249","TTC30B","r25_r26"
"250","CCNL1","r25_r26"
"251","ZEB1","r25_r26"
"252","CNTN3","r25_r26"
"253","P2RY13","r25_r26"
"254","EFCAB10","r25_r26"
"255","CSGALNACT1","r25_r26"
"256","MXD1","r25_r26"
"257","JMJD1C","r25_r26"
"258","CD86","r25_r26"
"259","C5orf67","r25_r26"
"260","RGS2","r25_r26"
"261","TTC12","r25_r26"
"262","RASAL1","r25_r26"
"263","PCDHA10","r25_r26"
"264","BOD1L1","r25_r26"
"265","KCNH7","r25_r26"
"266","SPAG6","r25_r26"
"267","CREBRF","r25_r26"
"268","KCNRG","r25_r26"
"269","ZNF267","r25_r26"
"270","KIF19","r25_r26"
"271","ZEB2","r25_r26"
"272","CCDC108","r25_r26"
"273","ZMYND12","r25_r26"
"274","VENTX","r25_r26"
"275","CACNA1C","r25_r26"
"276","CEACAM1","r25_r26"
"277","RSPH14","r25_r26"
"278","LOC100506990","r25_r26"
"279","DUSP6","r25_r26"
"280","LOC643802","r25_r26"
"281","DCSTAMP","r25_r26"
"282","C6orf118","r25_r26"
"283","LOC100499484-C9ORF174","r25_r26"
"284","DNAAF1","r25_r26"
"285","MILR1","r25_r26"
"286","DNER","r25_r26"
"287","CCDC180","r25_r26"
"288","MGAM2","r25_r26"
"289","RIBC2","r25_r26"
"290","VNN2","r25_r26"
"291","SLC22A14","r25_r26"
"292","CHD1","r25_r26"
"293","DOCK2","r25_r26"
"294","STEAP4","r25_r26"
"295","SAXO2","r25_r26"
"296","TCTEX1D2","r25_r26"
"297","PDE5A","r25_r26"
"298","RSPH10B2","r25_r26"
"299","RSPH10B","r25_r26"
"300","LRRC43","r25_r26"
"301","SLC32A1","r25_r26"
"302","TGFBI","r25_r26"
"303","DNAJC25-GNG10","r25_r26"
"304","ADRA2C","r25_r26"
"305","IL18RAP","r25_r26"
"306","NRBF2","r25_r26"
"307","MYEOV","r25_r26"
"308","C11orf70","r25_r26"
"309","DNALI1","r25_r26"
"310","HSPB11","r25_r26"
"311","C11orf74","r25_r26"
"312","TRIM9","r25_r26"
"313","BACH1","r25_r26"
"314","C22orf15","r25_r26"
"315","CR1","r25_r26"
"316","GM2A","r25_r26"
"317","TTC25","r25_r26"
"318","C20orf96","r25_r26"
"319","TEKT2","r25_r26"
"320","FLI1","r25_r26"
"321","TLR2","r25_r26"
"322","SLC26A2","r25_r26"
"323","GNG10","r25_r26"
"324","RIBC1","r25_r26"
"325","BAZ1A","r25_r26"
"326","ZCCHC6","r25_r26"
"327","CCDC74B","r25_r26"
"328","B3GALT5","r25_r26"
"329","C9orf171","r25_r26"
"330","MIR34C","r25_r26"
"331","TTLL10","r25_r26"
"332","RAB3B","r25_r26"
"333","ZNF438","r25_r26"
"334","FAM216B","r25_r26"
"335","ERV3-1","r25_r26"
"336","CCDC74A","r25_r26"
"337","TUBA4B","r25_r26"
"338","CDHR4","r25_r26"
"339","DAB2","r25_r26"
"340","KRT31","r25_r26"
"341","UPK3BL","r25_r26"
"342","ARMC3","r25_r26"
"343","ANKRD44","r25_r26"
"344","CCDC65","r25_r26"
"345","NPHP1","r25_r26"
"346","QKI","r25_r26"
"347","ABHD5","r25_r26"
"348","SDR9C7","r25_r26"
"349","GFPT2","r25_r26"
"350","A2M","r25_r26"
"351","TET2","r25_r26"
"352","UMODL1-AS1","r25_r26"
"353","ZC2HC1C","r25_r26"
"354","C11orf97","r25_r26"
