"","genes","res"
"1","PROL1","r33_r34"
"2","GPR50","r33_r34"
"3","POSTN","r33_r34"
"4","CERS3","r33_r34"
"5","F5","r33_r34"
"6","MANSC1","r33_r34"
"7","XDH","r33_r34"
"8","EDIL3","r33_r34"
"9","LOC101927416","r33_r34"
"10","IRG1","r33_r34"
"11","TNFSF13B","r33_r34"
"12","ALOX15","r33_r34"
"13","TMPRSS11E","r33_r34"
"14","FYB","r33_r34"
"15","MCTP1","r33_r34"
"16","CNR1","r33_r34"
"17","MAN1A1","r33_r34"
"18","EREG","r33_r34"
"19","PRR32","r33_r34"
"20","PLXDC2","r33_r34"
"21","CLEC2B","r33_r34"
"22","NGRN","r33_r34"
"23","HSD17B13","r33_r34"
"24","DIO1","r33_r34"
"25","GBP2","r33_r34"
"26","SLC22A3","r33_r34"
"27","SNX10","r33_r34"
"28","SAMD9","r33_r34"
"29","PRRG1","r33_r34"
"30","SLC39A2","r33_r34"
"31","CPM","r33_r34"
"32","GRM7-AS1","r33_r34"
"33","PCDHAC2","r33_r34"
"34","CEACAM7","r33_r34"
"35","IFIT2","r33_r34"
"36","DUSP4","r33_r34"
"37","HP","r33_r34"
"38","COL6A6","r33_r34"
"39","DDIT4L","r33_r34"
"40","EVI2A","r33_r34"
"41","NAIP","r33_r34"
"42","MROH9","r33_r34"
"43","CHST5","r33_r34"
"44","LRRC48","r33_r34"
"45","CX3CR1","r33_r34"
"46","LOC101930010","r33_r34"
"47","MS4A8","r33_r34"
"48","LRRK2","r33_r34"
"49","TMPRSS11A","r33_r34"
"50","KIAA1551","r33_r34"
"51","MYO15A","r33_r34"
"52","IVL","r33_r34"
"53","A2ML1","r33_r34"
"54","IGSF6","r33_r34"
"55","DNAH9","r33_r34"
"56","FAM201A","r33_r34"
"57","CLEC7A","r33_r34"
"58","C15orf26","r33_r34"
"59","MAP6","r33_r34"
"60","HEPHL1","r33_r34"
"61","BIN2","r33_r34"
"62","KCNE1","r33_r34"
"63","SULT1B1","r33_r34"
"64","ADRA2A","r33_r34"
"65","GBP5","r33_r34"
"66","FCGR3A","r33_r34"
"67","MYLK3","r33_r34"
"68","ST8SIA4","r33_r34"
"69","FGL2","r33_r34"
"70","DDX60L","r33_r34"
"71","HSPA7","r33_r34"
