"","genes","res"
"1","PROL1","r33_r34"
"2","POSTN","r33_r34"
"3","CERS3","r33_r34"
"4","F5","r33_r34"
"5","MANSC1","r33_r34"
"6","XDH","r33_r34"
"7","EDIL3","r33_r34"
"8","LOC101927416","r33_r34"
"9","TNFSF13B","r33_r34"
"10","IRG1","r33_r34"
"11","ALOX15","r33_r34"
"12","MCTP1","r33_r34"
"13","EREG","r33_r34"
"14","HSD17B13","r33_r34"
"15","CNR1","r33_r34"
"16","MAN1A1","r33_r34"
"17","PLXDC2","r33_r34"
"18","CLEC2B","r33_r34"
"19","PRR32","r33_r34"
"20","GBP2","r33_r34"
"21","SNX10","r33_r34"
"22","NGRN","r33_r34"
"23","SAMD9","r33_r34"
"24","SLC39A2","r33_r34"
"25","DIO1","r33_r34"
"26","CPM","r33_r34"
"27","CEACAM7","r33_r34"
"28","TMPRSS11E","r33_r34"
"29","FYB","r33_r34"
"30","PRRG1","r33_r34"
"31","IFIT2","r33_r34"
"32","DUSP4","r33_r34"
"33","PCDHAC2","r33_r34"
"34","SLC22A3","r33_r34"
"35","COL6A6","r33_r34"
"36","EVI2A","r33_r34"
"37","HP","r33_r34"
"38","DDIT4L","r33_r34"
"39","NAIP","r33_r34"
"40","MROH9","r33_r34"
"41","MS4A8","r33_r34"
"42","LRRC48","r33_r34"
"43","TMPRSS11A","r33_r34"
"44","KIAA1551","r33_r34"
"45","CHST5","r33_r34"
"46","IVL","r33_r34"
"47","A2ML1","r33_r34"
"48","IGSF6","r33_r34"
"49","DNAH9","r33_r34"
"50","CX3CR1","r33_r34"
"51","MAP6","r33_r34"
"52","CLEC7A","r33_r34"
"53","C15orf26","r33_r34"
"54","HEPHL1","r33_r34"
"55","BIN2","r33_r34"
"56","GBP5","r33_r34"
"57","ADRA2A","r33_r34"
"58","MYO15A","r33_r34"
"59","KCNE1","r33_r34"
"60","SULT1B1","r33_r34"
"61","FAM201A","r33_r34"
"62","FCGR3A","r33_r34"
"63","FGL2","r33_r34"
"64","DDX60L","r33_r34"
"65","ST8SIA4","r33_r34"
"66","HSPA7","r33_r34"
"67","HIF1A-AS2","r33_r34"
"68","ALOX15P1","r33_r34"
"69","SMCHD1","r33_r34"
"70","TMPRSS11D","r33_r34"
"71","CLEC5A","r33_r34"
"72","MYLK3","r33_r34"
"73","AOAH","r33_r34"
"74","DMRT3","r33_r34"
"75","CYBB","r33_r34"
"76","FAM47E","r33_r34"
"77","AIM2","r33_r34"
"78","FCGR1A","r33_r34"
"79","PTPRC","r33_r34"
"80","DNAH10","r33_r34"
"81","PCDHAC1","r33_r34"
"82","ZNF117","r33_r34"
"83","MFAP2","r33_r34"
"84","MNDA","r33_r34"
"85","DYDC1","r33_r34"
"86","CNGA4","r33_r34"
"87","LRRK2","r33_r34"
"88","RASSF3","r33_r34"
"89","C12orf75","r33_r34"
"90","LINC00332","r33_r34"
"91","PCSK6","r33_r34"
"92","CFAP52","r33_r34"
"93","CCDC40","r33_r34"
"94","FBXO15","r33_r34"
"95","CCDC151","r33_r34"
"96","MORN2","r33_r34"
"97","TTC30A","r33_r34"
"98","FLJ32255","r33_r34"
"99","PRDM1","r33_r34"
"100","GIMAP4","r33_r34"
"101","PTPRD","r33_r34"
"102","SPAG8","r33_r34"
