"","x"
"318","RORA"
"319","HK3"
"320","TMEM55A"
"321","FAM83A"
"322","C9orf84"
"323","CAP2"
"324","MCL1"
"325","CCDC176"
"326","LITAF"
"327","TTC22"
"328","RAP1A"
"329","MYCBPAP"
"330","TEKT4"
"331","STAT5B"
"332","CLCNKB"
"333","TOMM34"
"334","SKIL"
"335","GUCY2F"
"336","CEP89"
"337","ULK4"
"338","PLA2G4E"
"339","ADAMTSL4-AS1"
"340","SDS"
"341","FAM157A"
"342","CYTIP"
"343","CEACAM19"
"344","WDR92"
"345","GP1BA"
"346","RABL2A"
"347","CPEB4"
"348","DCP1B"
"349","PROSER3"
"350","TMEM71"
"351","LINC00342"
"352","ALPK1"
"353","CALML4"
"354","FOXA3"
"355","TTC29"
"356","WAS"
"357","PCBP1-AS1"
"358","LINC00494"
"359","PCF11"
"360","ITGAX"
"361","TPM4"
"362","SMPX"
"363","NCOA1"
"364","VWA7"
"365","RGS16"
"366","CASP1P2"
"367","STRN"
"368","TTN-AS1"
"369","LOC729603"
"370","C8orf74"
"371","PLK2"
"372","LFNG"
"373","ATG16L2"
"374","HOTAIRM1"
"375","LOC399715"
"376","C14orf79"
"377","ERO1A"
"378","PALM"
"379","MGC12916"
"380","CCDC78"
"381","C1orf162"
"382","NTRK1"
"383","TRAF3IP3"
"384","SMNDC1"
"385","PACS1"
"386","GOLGA2P10"
"387","CALCRL"
"388","IGLL5"
"389","PDZRN3"
"390","GNMT"
"391","FBXO16"
"392","SLC1A1"
"393","TMEM255A"
"394","TCP11"
"395","FMO3"
"396","SNRK-AS1"
"397","RIPK2"
"398","PROK2"
"399","STARD8"
"400","LOC101928710"
"401","FAT1"
"402","CYP4F2"
"403","CREG1"
"404","LOC100506368"
"405","VPS9D1-AS1"
"406","SEPT4"
"407","ZNF148"
"408","ATP6V1B2"
"409","USP6NL"
"410","GSDMA"
"411","DCLK2"
"412","SGTB"
"413","LOC101927476"
"414","C15orf48"
"415","PHF24"
"416","OSCAR"
"417","LAPTM5"
"418","MIR23A"
"419","ACSL4"
"420","MIR3614"
"421","CCL15"
"422","PTPRT"
"423","DNAH11"
"424","AGTPBP1"
"425","RAB33B"
"426","STOX1"
"427","CCDC181"
"428","GAB2"
"429","RNF157-AS1"
"430","DENND6B"
"431","TREM2"
"432","IFNAR1"
"433","OXTR"
"434","DUSP2"
"435","WDR38"
"436","PHACTR1"
"437","RPS2P32"
"438","MAT1A"
"439","SETX"
"440","ANKS1B"
"441","SIRT4"
"442","FBXO33"
"443","IPCEF1"
"444","C7orf57"
"445","IDO1"
"446","A2M-AS1"
"447","DCUN1D3"
"448","TMEM254"
"449","ASXL3"
"450","GAN"
"451","RANBP9"
"452","C9orf85"
"453","MAP3K19"
"454","FCN1"
"455","FAM81A"
"456","LILRA6"
"457","GAB3"
"458","SLC44A2"
"459","SLAMF1"
"460","ZNF654"
"461","MYO1G"
"462","GIPC2"
"463","LIPK"
"464","RPL29P2"
"465","RASGRP4"
"466","C20orf202"
"467","UBE2B"
"468","ARSI"
"469","ELMO1"
"470","ZNF157"
"471","LINC01336"
"472","PRAM1"
"473","BSND"
"474","KIAA1033"
"475","TYROBP"
"476","ANKRD44-IT1"
"477","NCF4"
"478","ARAP2"
"479","DNAJC9-AS1"
"480","MDH1B"
"481","ZNF107"
"482","NCF2"
"483","GNG7"
"484","PLCL1"
"485","MLF1"
"486","BTN2A1"
"487","DDX58"
"488","SOS2"
"489","C1QTNF1"
"490","CTXN1"
"491","MIAT"
"492","EHBP1L1"
"493","SGPP1"
"494","GPRIN3"
"495","MTAP"
"496","IFI16"
"497","LOC101927954"
"498","NSMAF"
"499","EPPIN"
"500","ZNF132"
"501","ACTR3"
"502","NDEL1"
"503","ADGRF1"
"504","CDK19"
"505","SIGLEC7"
"506","OSTF1"
"507","TTYH1"
"508","ABCA12"
"509","CLEC17A"
"510","ZFYVE16"
"511","FRMPD1"
"512","CAPS"
"513","SIGLEC14"
"514","SPRR3"
"515","C4orf47"
"516","LOC102723373"
"517","PRPH2"
"518","DLL4"
"519","ANKRD42"
"520","FOXN2"
"521","TMEM158"
"522","GCOM1"
"523","LOC100505841"
"524","DPY19L2P2"
"525","SLA"
"526","TPPP3"
"527","TRPV4"
"528","ZNF460"
"529","TRAK1"
"530","TXK"
"531","IPO4"
"532","FAM196B"
"533","SRD5A3-AS1"
"534","EFNB2"
