"","genes","modules"
"3662","LINC00330","grey60"
"3663","NUFIP1","brown"
"3664","GPALPP1","brown"
"3665","GTF2F2","brown"
"3666","KCTD4","skyblue"
"3667","TPT1-AS1","grey60"
"3668","SLC25A30","grey60"
"3669","COG3","brown"
"3670","ERICH6B","blue"
"3671","LINC01055","brown"
"3672","ZC3H13","brown"
"3673","CPB2-AS1","blue"
"3674","CPB2","brown"
"3675","LCP1","blue"
"3676","LRRC63","brown"
"3677","LINC00563","blue"
"3678","KIAA0226L","blue"
"3679","LINC01198","steelblue"
"3680","LRCH1","grey60"
"3681","ESD","brown"
"3682","HTR2A-AS1","mediumpurple2"
"3683","LINC00562","brown"
"3684","SUCLA2","brown"
"3685","NUDT15","brown"
"3686","MED4","brown"
"3687","MED4-AS1","brown"
"3688","ITM2B","brown"
"3689","LINC00441","brown"
"3690","RB1","brown"
"3691","LPAR6","brown"
"3692","RCBTB2","brown"
"3693","LINC00462","skyblue"
"3694","FNDC3A","brown"
"3695","CDADC1","brown"
"3696","CAB39L","brown"
"3697","SETDB2","brown"
"3698","PHF11","brown"
"3699","RCBTB1","brown"
"3700","ARL11","blue"
"3701","KPNA3","brown"
"3702","CTAGE10P","brown"
"3703","SPRYD7","brown"
"3704","DLEU2","brown"
"3705","TRIM13","brown"
"3706","MIR16-1","brown"
"3707","MIR15A","blue"
"3708","DLEU1","brown"
"3709","ST13P4","brown"
"3710","DLEU7-AS1","brown"
"3711","RNASEH2B-AS1","brown"
"3712","RNASEH2B","brown"
"3713","SERPINE3","grey60"
"3714","INTS6","brown"
"3715","INTS6-AS1","brown"
"3716","MIR4703","skyblue"
"3717","WDFY2","brown"
"3718","LINC00282","blue"
"3719","CCDC70","brown"
"3720","ATP7B","grey60"
"3721","ALG11","brown"
"3722","UTP14C","brown"
"3723","LOC101929657","brown"
"3724","NEK3","brown"
"3725","MRPS31P5","grey60"
"3726","THSD1","grey60"
"3727","VPS36","brown"
"3728","CKAP2","brown"
"3729","HNRNPA1L2","grey60"
"3730","SUGT1","brown"
"3731","LECT1","steelblue"
"3732","PCDH8","blue"
"3733","OLFM4","blue"
"3734","LINC01065","plum2"
"3735","LINC00558","blue"
"3736","LINC00458","blue"
"3737","PRR20E","antiquewhite4"
"3738","PRR20A","antiquewhite4"
"3739","PRR20B","antiquewhite4"
"3740","PRR20C","antiquewhite4"
"3741","PRR20D","antiquewhite4"
"3742","LOC101926897","blue"
"3743","DIAPH3-AS2","skyblue"
"3744","TDRD3","brown"
"3745","LINC00378","cyan"
"3746","PCDH20","brown"
"3747","LINC00358","blue"
"3748","LINC00376","blue"
"3749","LOC102723968","coral1"
"3750","PCDH9","brown"
"3751","PCDH9-AS2","plum"
"3752","PCDH9-AS3","cyan"
"3753","KLHL1","blue"
"3754","ATXN8OS","mediumpurple2"
"3755","MZT1","brown"
"3756","BORA","brown"
"3757","DIS3","brown"
"3758","PIBF1","brown"
"3759","KLF5","brown"
"3760","LINC00392","cyan"
"3761","KLF12","brown"
"3762","LINC00347","skyblue1"
"3763","TBC1D4","grey60"
"3764","UCHL3","brown"
"3765","LMO7-AS1","brown"
"3766","LMO7","brown"
"3767","LMO7DN","blue"
"3768","LMO7DN-IT1","brown"
"3769","KCTD12","grey60"
"3770","BTF3P11","brown"
"3771","IRG1","cyan"
"3772","CLN5","brown"
"3773","FBXL3","brown"
"3774","MYCBP2","grey60"
"3775","MYCBP2-AS1","grey60"
"3776","SCEL","blue"
"3777","SCEL-AS1","blue"
"3778","LOC100129307","blue"
"3779","SLAIN1","brown"
"3780","EDNRB-AS1","blue"
"3781","EDNRB","brown"
"3782","LINC01069","blue"
"3783","LINC00446","blue"
"3784","RNF219-AS1","brown"
"3785","POU4F1","pink"
"3786","RNF219","brown"
"3787","RBM26","grey60"
"3788","RBM26-AS1","brown"
"3789","NDFIP2-AS1","blue"
"3790","NDFIP2","brown"
"3791","SLITRK1","blue"
"3792","LINC00333","brown"
"3793","LINC00351","plum"
"3794","SLITRK6","brown"
"3795","MIR4500HG","orangered3"
"3796","LINC00433","blue"
"3797","LINC00353","blue"
"3798","LINC00559","cyan"
"3799","MIR622","pink"
"3800","LINC01049","darkviolet"
"3801","LINC00379","blue"
"3802","MIR17HG","brown"
"3803","MIR17","skyblue"
"3804","MIR20A","brown"
"3805","MIR19B1","cyan"
"3806","MIR92A1","cyan"
"3807","GPC6","blue"
"3808","GPC6-AS2","blue"
"3809","DCT","brown"
"3810","TGDS","brown"
"3811","GPR180","brown"
"3812","LOC101927248","grey60"
"3813","SOX21-AS1","brown"
"3814","ABCC4","brown"
"3815","CLDN10","brown"
"3816","DZIP1","brown"
"3817","DNAJC3-AS1","brown"
"3818","DNAJC3","brown"
"3819","UGGT2","brown"
"3820","HS6ST3","steelblue"
"3821","OXGR1","brown"
"3822","LINC00456","pink"
"3823","MBNL2","brown"
"3824","RAP2A","grey60"
"3825","IPO5","grey60"
"3826","FARP1","grey60"
"3827","RNF113B","brown"
"3828","MIR3170","coral1"
"3829","STK24","grey60"
"3830","SLC15A1","pink"
"3831","DOCK9","grey60"
"3832","DOCK9-AS2","grey60"
"3833","UBAC2-AS1","pink"
"3834","MIR548AN","thistle2"
"3835","GPR18","brown"
"3836","GPR183","blue"
"3837","FKSG29","brown"
"3838","MIR623","thistle2"
"3839","LINC01232","grey60"
"3840","TM9SF2","brown"
"3841","LINC01039","steelblue"
"3842","CLYBL","grey60"
"3843","CLYBL-AS2","brown"
"3844","ZIC5","skyblue"
"3845","LINC00554","mediumpurple2"
"3846","PCCA","brown"
"3847","PCCA-AS1","brown"
"3848","TMTC4","brown"
"3849","NALCN-AS1","skyblue1"
"3850","TPP2","brown"
"3851","METTL21C","steelblue"
"3852","CCDC168","pink"
"3853","TEX30","brown"
"3854","KDELC1","brown"
"3855","BIVM","grey60"
"3856","BIVM-ERCC5","brown"
"3857","ERCC5","brown"
"3858","SLC10A2","blue"
"3859","LINC01309","blue"
"3860","DAOA-AS1","blue"
"3861","DAOA","blue"
"3862","LINC00343","blue"
"3863","LINC00460","blue"
"3864","EFNB2","blue"
"3865","ARGLU1","brown"
"3866","LINC00551","blue"
"3867","LINC00443","blue"
"3868","FAM155A-IT1","blue"
"3869","LIG4","brown"
"3870","ABHD13","brown"
"3871","TNFSF13B","blue"
"3872","MYO16","brown"
"3873","MYO16-AS1","grey60"
"3874","LINC00399","pink"
"3875","LINC00676","pink"
"3876","IRS2","grey60"
"3877","COL4A1","cyan"
"3878","COL4A2","cyan"
"3879","CARKD","grey60"
"3880","ING1","grey60"
"3881","LINC00346","grey60"
"3882","ANKRD10","brown"
"3883","LINC00431","grey60"
"3884","ARHGEF7","grey60"
"3885","LOC101060553","brown"
"3886","TEX29","pink"
"3887","LINC00354","blue"
"3888","LINC00403","blue"
"3889","LOC101928730","blue"
"3890","LINC01044","blue"
"3891","TUBGCP3","brown"
"3892","ATP11AUN","blue"
"3893","ATP11A","grey60"
"3894","ATP11A-AS1","brown"
"3895","MCF2L-AS1","grey60"
"3896","PROZ","pink"
"3897","PCID2","brown"
"3898","CUL4A","brown"
"3899","MIR8075","grey60"
"3900","GRTP1","grey60"
"3901","GRTP1-AS1","grey60"
"3902","LOC101928841","firebrick4"
"3903","DCUN1D2","grey60"
"3904","TMCO3","grey60"
"3905","TFDP1","grey60"
"3906","ATP4B","blue"
"3907","CDC16","brown"
"3908","MIR548AR","grey60"
"3909","MIR4502","plum2"
"3910","UPF3A","grey60"
"3911","CHAMP1","grey60"
"3912","LOC642426","mediumpurple2"
"3913","LOC101929572","blue"
"3914","POTEH-AS1","blue"
"3915","LOC100508046","blue"
"3916","OR11H2","blue"
"3917","OR4Q3","blue"
"3918","OR4M1","blue"
"3919","OR4K2","blue"
"3920","OR4K5","blue"
"3921","OR4K14","blue"
"3922","OR4K13","blue"
"3923","OR4K17","blue"
"3924","OR4N5","blue"
"3925","OR11G2","blue"
"3926","PARP2","brown"
"3927","TEP1","grey60"
"3928","KLHL33","antiquewhite4"
"3929","RNASE9","blue"
"3930","RNASE11","blue"
"3931","LOC254028","blue"
"3932","OR6S1","plum2"
"3933","RNASE4","brown"
"3934","RNASE3","blue"
"3935","ECRP","cyan"
"3936","RNASE2","brown"
"3937","SLC39A2","cyan"
"3938","TPPP2","brown"
"3939","RNASE13","blue"
"3940","RNASE7","blue"
"3941","RNASE8","pink"
"3942","OR5AU1","blue"
"3943","LINC00641","grey60"
"3944","RPGRIP1","blue"
"3945","SUPT16H","brown"
"3946","CHD8","grey60"
"3947","SNORD9","grey60"
"3948","SNORD8","brown"
"3949","RAB2B","grey60"
"3950","TOX4","grey60"
"3951","METTL3","brown"
"3952","LOC101926933","pink"
"3953","PSMB11","blue"
"3954","ACIN1","grey60"
"3955","C14orf119","brown"
"3956","CEBPE","antiquewhite4"
"3957","RNF212B","brown"
"3958","PPP1R3E","grey60"
"3959","BCL2L2","grey60"
"3960","BCL2L2-PABPN1","grey60"
"3961","PABPN1","grey60"
"3962","IL25","plum"
"3963","MYH6","antiquewhite4"
"3964","MIR208A","blue"
"3965","MYH7","antiquewhite4"
"3966","MHRT","antiquewhite4"
"3967","NGDN","brown"
"3968","JPH4","pink"
"3969","TSSK4","grey60"
"3970","CHMP4A","brown"
"3971","GMPR2","brown"
"3972","TGM1","cyan"
"3973","ADCY4","grey60"
"3974","KHNYN","grey60"
"3975","LOC101927045","brown"
"3976","CMA1","antiquewhite4"
"3977","GZMB","steelblue"
"3978","STXBP6","brown"
"3979","NOVA1","plum2"
"3980","LOC101927062","cyan"
"3981","LOC102724890","blue"
"3982","LOC101927081","blue"
"3983","LINC00645","steelblue"
"3984","FOXG1-AS1","brown"
"3985","FOXG1","grey60"
"3986","LINC01551","pink"
"3987","MIR548AI","pink"
"3988","G2E3","brown"
"3989","SCFD1","brown"
"3990","STRN3","grey60"
"3991","AP4S1","grey60"
"3992","HECTD1","grey60"
"3993","HEATR5A","brown"
"3994","LOC101927124","brown"
"3995","DTD2","grey60"
"3996","NUBPL","brown"
"3997","ARHGAP5","brown"
"3998","EGLN3","cyan"
"3999","SPTSSA","brown"
"4000","EAPP","brown"
"4001","SNX6","brown"
"4002","CFL2","brown"
"4003","BAZ1A","brown"
"4004","IGBP1P1","brown"
"4005","SRP54","brown"
"4006","FAM177A1","brown"
"4007","LOC101927178","brown"
"4008","PPP2R3C","brown"
"4009","KIAA0391","brown"
"4010","NFKBIA","blue"
"4011","INSM2","pink"
"4012","RALGAPA1","brown"
"4013","RALGAPA1P","brown"
"4014","BRMS1L","brown"
"4015","MBIP","brown"
"4016","SFTA3","blue"
"4017","NKX2-1","blue"
"4018","NKX2-1-AS1","mediumpurple2"
"4019","PAX9","blue"
"4020","SLC25A21","brown"
"4021","FOXA1","grey60"
"4022","TTC6","brown"
"4023","CLEC14A","cyan"
"4024","SEC23A","brown"
"4025","GEMIN2","brown"
"4026","TRAPPC6B","brown"
"4027","PNN","grey60"
"4028","MIA2","steelblue"
"4029","CTAGE5","brown"
"4030","LOC100288846","brown"
"4031","FBXO33","brown"
"4032","LRFN5","blue"
"4033","C14orf28","brown"
"4034","LOC101927418","brown"
"4035","KLHL28","brown"
"4036","FAM179B","brown"
"4037","PRPF39","brown"
"4038","FKBP3","brown"
"4039","FANCM","brown"
"4040","MIS18BP1","brown"
"4041","MDGA2","blue"
"4042","LINC00648","cyan"
"4043","RPL36AL","brown"
"4044","POLE2","brown"
"4045","KLHDC1","brown"
"4046","KLHDC2","brown"
"4047","NEMF","brown"
"4048","ARF6","brown"
"4049","LINC01588","grey60"
"4050","LINC01599","brown"
"4051","VCPKMT","brown"
"4052","SOS2","brown"
"4053","L2HGDH","grey60"
"4054","ATP5S","grey60"
"4055","MAP4K5","brown"
"4056","ATL1","brown"
"4057","SAV1","brown"
"4058","NIN","brown"
"4059","ABHD12B","brown"
"4060","PYGL","brown"
"4061","TRIM9","brown"
"4062","TMX1","brown"
"4063","LINC00640","pink"
"4064","FRMD6-AS2","cyan"
"4065","FRMD6","brown"
"4066","FRMD6-AS1","pink"
"4067","GNG2","blue"
"4068","LOC102723604","blue"
"4069","C14orf166","brown"
"4070","NID2","brown"
"4071","PTGDR","steelblue"
"4072","TXNDC16","brown"
"4073","GPR137C","brown"
"4074","ERO1A","brown"
"4075","PSMC6","brown"
"4076","STYX","brown"
"4077","GNPNAT1","grey60"
"4078","FERMT2","brown"
"4079","DDHD1","brown"
"4080","LOC101927620","brown"
"4081","MIR5580","blue"
"4082","CNIH1","brown"
"4083","GMFB","brown"
"4084","CGRRF1","brown"
"4085","SAMD4A","grey60"
"4086","GCH1","brown"
"4087","MIR4308","brown"
"4088","WDHD1","brown"
"4089","SOCS4","grey60"
"4090","MAPK1IP1L","brown"
"4091","FBXO34","brown"
"4092","ATG14","grey60"
"4093","TBPL2","brown"
"4094","KTN1","brown"
"4095","LINC00520","antiquewhite4"
"4096","PELI2","brown"
"4097","TMEM260","brown"
"4098","OTX2","brown"
"4099","EXOC5","brown"
"4100","AP5M1","brown"
"4101","NAA30","brown"
"4102","SLC35F4","pink"
"4103","ACTR10","brown"
"4104","PSMA3","brown"
"4105","PSMA3-AS1","grey60"
"4106","ARID4A","brown"
"4107","TOMM20L","brown"
"4108","TIMM9","brown"
"4109","KIAA0586","brown"
"4110","DACT1","cyan"
"4111","LINC01500","steelblue"
"4112","DAAM1","brown"
"4113","L3HYPDH","brown"
"4114","JKAMP","brown"
"4115","CCDC175","brown"
"4116","RTN1","brown"
"4117","LRRC9","plum"
"4118","DHRS7","brown"
"4119","PPM1A","grey60"
"4120","C14orf39","grey60"
"4121","SALRNA1","brown"
"4122","SIX1","brown"
"4123","SIX4","grey60"
"4124","MNAT1","brown"
"4125","TRMT5","brown"
"4126","PRKCH","brown"
"4127","LOC101927780","blue"
"4128","FLJ22447","brown"
"4129","HIF1A-AS1","brown"
"4130","HIF1A","blue"
"4131","HIF1A-AS2","blue"
"4132","SNAPC1","brown"
"4133","SYT16","brown"
"4134","KCNH5","blue"
"4135","RHOJ","cyan"
"4136","PPP2R5E","brown"
"4137","WDR89","brown"
"4138","SGPP1","brown"
"4139","SYNE2","grey60"
"4140","MIR548H1","skyblue"
"4141","ESR2","pink"
"4142","MTHFD1","brown"
"4143","ZBTB25","brown"
"4144","AKAP5","pink"
"4145","ZBTB1","brown"
"4146","LOC102723809","brown"
"4147","MIR7855","plum"
"4148","MIR4706","grey60"
"4149","MIR4708","steelblue"
"4150","FUT8","brown"
"4151","FUT8-AS1","grey60"
"4152","LINC00238","pink"
"4153","GPHN","brown"
"4154","FAM71D","brown"
"4155","MPP5","brown"
"4156","ATP6V1D","brown"
"4157","EIF2S1","brown"
"4158","PLEKHH1","grey60"
"4159","PIGH","brown"
"4160","ARG2","brown"
"4161","VTI1B","brown"
"4162","RDH11","brown"
"4163","RDH12","cyan"
"4164","ZFYVE26","grey60"
"4165","RAD51B","brown"
"4166","ACTN1-AS1","pink"
"4167","DCAF5","brown"
"4168","EXD2","grey60"
"4169","SLC39A9","grey60"
"4170","PLEKHD1","grey60"
"4171","LOC100289511","brown"
"4172","SRSF5","brown"
"4173","SLC10A1","brown"
"4174","SLC8A3","steelblue"
"4175","ADAM21P1","steelblue"
"4176","SYNJ2BP-COX16","brown"
"4177","SYNJ2BP","brown"
"4178","ADAM21","brown"
"4179","ADAM20P1","brown"
"4180","ADAM20","pink"
"4181","MED6","brown"
"4182","LOC101928075","brown"
"4183","TTC9","grey60"
"4184","LINC01269","brown"
"4185","MAP3K9","grey60"
"4186","PCNX","grey60"
"4187","SNORD56B","pink"
"4188","LOC145474","blue"
"4189","SIPA1L1","brown"
"4190","DCAF4","grey60"
"4191","RBM25","grey60"
"4192","PSEN1","brown"
"4193","PAPLN","grey60"
"4194","NUMB","brown"
"4195","HEATR4","grey60"
"4196","ELMSAN1","grey60"
"4197","MIR4505","brown"
"4198","PTGR2","brown"
"4199","ZNF410","brown"
"4200","FAM161B","brown"
"4201","ENTPD5","brown"
"4202","ALDH6A1","brown"
"4203","LIN52","brown"
"4204","LTBP2","grey60"
"4205","AREL1","grey60"
"4206","FCF1","grey60"
"4207","YLPM1","grey60"
"4208","PROX2","grey60"
"4209","MLH3","brown"
"4210","NEK9","grey60"
"4211","FOS","blue"
"4212","LINC01220","blue"
"4213","FLVCR2","brown"
"4214","GPATCH2L","grey60"
"4215","ESRRB","antiquewhite4"
"4216","LRRC74A","blue"
"4217","LOC283575","blue"
"4218","LOC102724190","blue"
"4219","ZDHHC22","plum"
"4220","TMED8","grey60"
"4221","ISM2","pink"
"4222","SPTLC2","grey60"
"4223","ALKBH1","brown"
"4224","SNW1","brown"
"4225","C14orf178","brown"
"4226","DIO2","blue"
"4227","DIO2-AS1","blue"
"4228","CEP128","brown"
"4229","TSHR","pink"
"4230","GTF2A1","grey60"
"4231","SNORA79","thistle2"
"4232","STON2","grey60"
"4233","SEL1L","brown"
"4234","LINC01467","blue"
"4235","FLRT2","cyan"
"4236","LOC283585","blue"
"4237","GALC","brown"
"4238","GPR65","blue"
"4239","LOC101928791","blue"
"4240","LINC01146","blue"
"4241","KCNK10","cyan"
"4242","PTPN21","grey60"
"4243","ZC3H14","brown"
"4244","EML5","grey60"
"4245","TTC8","brown"
"4246","FOXN3","grey60"
"4247","FOXN3-AS2","grey60"
"4248","TDP1","brown"
"4249","PSMC1","brown"
"4250","NRDE2","grey60"
"4251","CALM1","brown"
"4252","LINC00642","blue"
"4253","LOC101928909","antiquewhite4"
"4254","RPS6KA5","brown"
"4255","SNORA11B","pink"
"4256","PPP4R3A","brown"
"4257","CATSPERB","brown"
"4258","TC2N","brown"
"4259","TRIP11","brown"
"4260","ATXN3","brown"
"4261","CPSF2","grey60"
"4262","SLC24A4","blue"
"4263","GOLGA5","brown"
"4264","CHGA","blue"
"4265","ITPK1-AS1","brown"
"4266","MOAP1","brown"
"4267","TMEM251","brown"
"4268","UBR7","brown"
"4269","BTBD7","grey60"
"4270","UNC79","grey60"
"4271","LINC00521","steelblue"
"4272","DDX24","grey60"
"4273","PPP4R4","brown"
"4274","SERPINA6","skyblue1"
"4275","SERPINA2","blue"
"4276","SERPINA1","blue"
"4277","SERPINA11","antiquewhite4"
"4278","SERPINA9","cyan"
"4279","SERPINA12","skyblue"
"4280","SERPINA13P","antiquewhite4"
"4281","GSC","blue"
"4282","DICER1","grey60"
"4283","DICER1-AS1","grey60"
"4284","SNHG10","brown"
"4285","SCARNA13","brown"
"4286","TCL6","blue"
"4287","TCL1B","blue"
"4288","BDKRB2","brown"
"4289","ATG2B","grey60"
"4290","GSKIP","brown"
"4291","PAPOLA","brown"
"4292","VRK1","brown"
"4293","LINC00618","skyblue"
"4294","LOC101929241","steelblue"
"4295","LOC100129345","blue"
"4296","SETD3","grey60"
"4297","MIR151B","brown"
"4298","MIR342","skyblue"
"4299","YY1","grey60"
"4300","MIR6764","pink"
"4301","MIR345","brown"
"4302","WARS","cyan"
"4303","MEG3","blue"
"4304","MIR770","skyblue1"
"4305","RTL1","blue"
"4306","MIR370","cyan"
"4307","SNORD113-9","blue"
"4308","SNHG24","blue"
"4309","MIR381HG","mediumpurple2"
"4310","MIR544A","blue"
"4311","MIR377","blue"
"4312","MEG9","orangered3"
"4313","PPP2R5C","brown"
"4314","DYNC1H1","grey60"
"4315","HSP90AA1","brown"
"4316","WDR20","brown"
"4317","ZNF839","grey60"
"4318","RCOR1","grey60"
"4319","TRAF3","grey60"
"4320","CDC42BPB","grey60"
"4321","EIF5","brown"
"4322","SNORA28","pink"
"4323","MARK3","brown"
"4324","BAG5","brown"
"4325","KLC1","grey60"
"4326","PPP1R13B","grey60"
"4327","TDRD9","blue"
"4328","RD3L","antiquewhite4"
"4329","ASPG","pink"
"4330","MIR203A","blue"
"4331","MIR203B","blue"
"4332","C14orf180","antiquewhite4"
"4333","TMEM179","antiquewhite4"
"4334","AHNAK2","grey60"
"4335","MIR6765","grey60"
"4336","MIR8071-1","pink"
"4337","MIR8071-2","pink"
"4338","MIR4538","grey60"
"4339","MIR4539","firebrick4"
"4340","ADAM6","blue"
"4341","LINC00226","plum"
"4342","MIR5195","blue"
"4343","HERC2P3","grey60"
"4344","GOLGA6L6","blue"
"4345","NBEAP1","cyan"
"4346","POTEB2","blue"
"4347","POTEB3","blue"
"4348","POTEB","blue"
"4349","MIR5701-1","blue"
"4350","MIR5701-2","blue"
"4351","MIR5701-3","blue"
"4352","LINC01193","blue"
"4353","LOC646214","grey60"
"4354","CXADRP2","steelblue"
"4355","LOC101927079","blue"
"4356","LOC727924","blue"
"4357","OR4M2","blue"
"4358","REREP3","grey60"
"4359","GOLGA8DP","skyblue1"
"4360","GOLGA6L1","steelblue"
"4361","GOLGA6L22","blue"
"4362","TUBGCP5","brown"
"4363","CYFIP1","grey60"
"4364","NIPA2","brown"
"4365","NIPA1","brown"
"4366","WHAMMP3","grey60"
"4367","GOLGA8IP","grey60"
"4368","HERC2P2","grey60"
"4369","HERC2P7","grey60"
"4370","GOLGA8EP","grey60"
"4371","GOLGA8S","grey60"
"4372","GOLGA6L2","orangered3"
"4373","MKRN3","brown"
"4374","PWRN2","blue"
"4375","PWRN3","cyan"
"4376","PWRN1","brown"
"4377","NPAP1","blue2"
"4378","SNORD107","brown"
"4379","PWARSN","pink"
"4380","PWAR5","grey60"
"4381","SNORD64","grey60"
"4382","SNORD108","grey60"
"4383","SNORD109A","pink"
"4384","SNORD109B","pink"
"4385","SNORD116-4","grey60"
"4386","SNORD116-13","antiquewhite4"
"4387","SNORD116-19","grey60"
"4388","SNORD116-17","grey60"
"4389","SNORD116-20","grey60"
"4390","SNORD116-21","grey60"
"4391","SNORD116-24","grey60"
"4392","SNORD116-26","pink"
"4393","PWAR1","brown"
"4394","SNORD115-5","blue"
"4395","SNORD115-9","blue"
"4396","SNORD115-10","blue"
"4397","SNORD115-12","blue"
"4398","SNORD115-37","blue"
"4399","UBE3A","brown"
"4400","MIR4715","brown"
"4401","LOC100128714","blue"
"4402","LINC00929","pink"
"4403","GABRB3","brown"
"4404","OCA2","grey60"
"4405","HERC2","grey60"
"4406","HERC2P9","grey60"
"4407","GOLGA8M","grey60"
"4408","WHAMMP2","grey60"
"4409","PDCD6IPP2","grey60"
"4410","GOLGA6L7P","cyan"
"4411","TJP1","brown"
"4412","GOLGA8J","grey60"
"4413","ULK4P3","grey60"
"4414","GOLGA8T","grey60"
"4415","CHRFAM7A","grey60"
"4416","GOLGA8R","grey60"
"4417","ULK4P2","grey60"
"4418","ULK4P1","grey60"
"4419","GOLGA8H","grey60"
"4420","ARHGAP11B","brown"
"4421","LOC100288637","grey60"
"4422","HERC2P10","steelblue"
"4423","FAN1","grey60"
"4424","MTMR10","grey60"
"4425","TRPM1","brown"
"4426","MIR211","orangered3"
"4427","LOC283710","grey60"
"4428","GOLGA8K","grey60"
"4429","GOLGA8O","grey60"
"4430","WHAMMP1","grey60"
"4431","GOLGA8N","grey60"
"4432","ARHGAP11A","brown"
"4433","FMN1","grey60"
"4434","TMCO5B","plum2"
"4435","LOC101928134","blue"
"4436","AVEN","grey60"
"4437","CHRM5","grey60"
"4438","EMC7","brown"
"4439","PGBD4","brown"
"4440","KATNBL1","blue"
"4441","EMC4","brown"
"4442","SLC12A6","brown"
"4443","NUTM1","grey60"
"4444","GOLGA8A","grey60"
"4445","MIR1233-1","grey60"
"4446","MIR1233-2","grey60"
"4447","GOLGA8B","grey60"
"4448","GJD2","blue"
"4449","LOC101928174","blue"
"4450","ACTC1","antiquewhite4"
"4451","AQR","brown"
"4452","ZNF770","brown"
"4453","ANP32AP1","grey60"
"4454","DPH6","brown"
"4455","C15orf41","brown"
"4456","CSNK1A1P1","brown"
"4457","LOC145845","pink"
"4458","MEIS2","grey60"
"4459","MIR8063","brown"
"4460","SPRED1","grey60"
"4461","FAM98B","grey60"
"4462","RASGRP1","brown"
"4463","C15orf53","steelblue"
"4464","EIF2AK4","grey60"
"4465","ANKRD63","blue"
"4466","C15orf52","grey60"
"4467","KNSTRN","brown"
"4468","IVD","grey60"
"4469","MRPL42P5","brown"
"4470","CASC5","brown"
"4471","RAD51-AS1","brown"
"4472","RAD51","brown"
"4473","RMDN3","grey60"
"4474","C15orf62","grey60"
"4475","CHAC1","pink"
"4476","INO80","grey60"
"4477","EXD1","steelblue"
"4478","OIP5-AS1","brown"
"4479","NDUFAF1","brown"
"4480","RTF1","grey60"
"4481","MGA","brown"
"4482","MIR626","steelblue"
"4483","MAPKBP1","grey60"
"4484","PLA2G4B","grey60"
"4485","SPTBN5","grey60"
"4486","MIR4310","blue2"
"4487","PLA2G4E-AS1","brown"
"4488","PLA2G4E","cyan"
"4489","PLA2G4D","blue"
"4490","VPS39","grey60"
"4491","MIR627","mediumpurple2"
"4492","TMEM87A","brown"
"4493","GANC","brown"
"4494","CAPN3","grey60"
"4495","ZNF106","brown"
"4496","SNAP23","brown"
"4497","LRRC57","brown"
"4498","HAUS2","grey60"
"4499","UBR1","brown"
"4500","CCNDBP1","brown"
"4501","TGM5","cyan"
"4502","TGM7","pink"
"4503","ADAL","brown"
"4504","ZSCAN29","grey60"
"4505","TUBGCP4","brown"
"4506","RNU6-28P","grey60"
"4507","TP53BP1","brown"
"4508","PPIP5K1","grey60"
"4509","STRC","grey60"
"4510","CATSPER2","grey60"
"4511","CATSPER2P1","pink"
"4512","PDIA3","brown"
"4513","SERINC4","grey60"
"4514","MFAP1","brown"
"4515","WDR76","brown"
"4516","FRMD5","brown"
"4517","PIN4P1","brown"
"4518","CASC4","brown"
"4519","CTDSPL2","brown"
"4520","EIF3J-AS1","brown"
"4521","EIF3J","grey60"
"4522","SPG11","grey60"
"4523","B2M","brown"
"4524","LOC100419583","brown"
"4525","TRIM69","blue"
"4526","DUOX2","grey60"
"4527","DUOX1","grey60"
"4528","SLC28A2","plum2"
"4529","GATM","brown"
"4530","SPATA5L1","brown"
"4531","C15orf48","blue"
"4532","MIR147B","brown"
"4533","SLC30A4","pink"
"4534","HMGN2P46","brown"
"4535","BLOC1S6","brown"
"4536","SEMA6D","brown"
"4537","CTXN2","blue"
"4538","SLC12A1","blue"
"4539","CEP152","brown"
"4540","SHC4","brown"
"4541","EID1","brown"
"4542","SECISBP2L","grey60"
"4543","COPS2","brown"
"4544","GALK2","brown"
"4545","NDUFAF4P1","brown"
"4546","MIR4716","orangered3"
"4547","FGF7","grey60"
"4548","DTWD1","brown"
"4549","ATP8B4","brown"
"4550","SLC27A2","brown"
"4551","GABPB1","brown"
"4552","FLJ10038","grey60"
"4553","GABPB1-AS1","brown"
"4554","MIR4712","brown"
"4555","USP8","brown"
"4556","USP50","grey60"
"4557","TRPM7","brown"
"4558","SPPL2A","brown"
"4559","AP4E1","grey60"
"4560","DCAF13P3","pink"
"4561","CYP19A1","brown"
"4562","GLDN","brown"
"4563","DMXL2","grey60"
"4564","SCG3","pink"
"4565","LYSMD2","brown"
"4566","TMOD2","brown"
"4567","TMOD3","brown"
"4568","LOC100422556","grey60"
"4569","LEO1","brown"
"4570","MAPK6","brown"
"4571","GNB5","brown"
"4572","LOC100129973","grey60"
"4573","MYO5C","grey60"
"4574","MIR1266","brown"
"4575","MYO5A","brown"
"4576","ARPP19","brown"
"4577","FAM214A","brown"
"4578","WDR72","brown"
"4579","UNC13C","blue"
"4580","RSL24D1","brown"
"4581","RAB27A","brown"
"4582","PIGBOS1","brown"
"4583","PIGB","brown"
"4584","DYX1C1-CCPG1","brown"
"4585","CCPG1","brown"
"4586","MIR628","pink"
"4587","C15orf65","brown"
"4588","PYGO1","brown"
"4589","NEDD4","brown"
"4590","RFX7","grey60"
"4591","ZNF280D","grey60"
"4592","LOC145783","brown"
"4593","TCF12","brown"
"4594","LINC00926","grey60"
"4595","CGNL1","blue"
"4596","GCOM1","brown"
