"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"F5",299.41570284827,-8.92350700643529,1.73571297416327,-5.14111903250421,2.73106953866906e-07,0.00113987994532592
"MANSC1",1302.67986026636,-3.4703816505119,0.678100043581015,-5.1178018396592,3.09117120991646e-07,0.00113987994532592
"CERS3",685.130172903,-5.27552632034714,0.991816150103049,-5.31905668182457,1.04306638851502e-07,0.00113987994532592
"XDH",3232.3529732217,-4.44017354083823,0.860396476019276,-5.16061335046513,2.46142075506114e-07,0.00113987994532592
"EDIL3",367.367573720306,-5.48333075052795,1.07998695161968,-5.07721944446133,3.82998436034514e-07,0.00113987994532592
"TNFSF13B",886.115217455581,-7.54937109733964,1.51460786298406,-4.9843733693987,6.21629408139985e-07,0.00132149531750445
"LOC101927416",857.089027840167,6.81707255434249,1.36142237560956,5.00731637475125,5.51941645811173e-07,0.00132149531750445
"ALOX15",91983.2028203178,5.65446720726028,1.15146447107546,4.91067449261293,9.07636476004054e-07,0.00151804354022316
"MCTP1",412.724320829784,-4.90442591657183,0.999185371407684,-4.90842445947974,9.18109795175623e-07,0.00151804354022316
"PLXDC2",678.471183156316,-5.53146096128277,1.16206781861734,-4.76001561411817,1.93577982853901e-06,0.00217607790059984
"CLEC2B",1099.77500805253,-4.73622830927224,0.997372912561545,-4.74870356876669,2.04724753769221e-06,0.00217607790059984
"EREG",925.941069467433,-7.56661864831657,1.57801139255277,-4.79503423360965,1.62647052761301e-06,0.00217607790059984
"HSD17B13",2676.79440373437,6.10776283806924,1.28060838751646,4.76942279748322,1.84754530960902e-06,0.00217607790059984
"MAN1A1",2460.20814409438,-3.05114068353692,0.638170758152722,-4.78107253357845,1.74362432079894e-06,0.00217607790059984
"GBP2",3580.19668689944,-5.51261395072098,1.17218073020944,-4.70287030715479,2.56529379312391e-06,0.00227494937713839
"NGRN",6153.94428570388,2.14853420297903,0.45682267122055,4.70321273074851,2.5609933726015e-06,0.00227494937713839
"SNX10",622.681718057434,-7.38293004814205,1.57076476185758,-4.70021369680527,2.59889385198258e-06,0.00227494937713839
"SAMD9",2626.91177780455,-6.02373233179559,1.29084324046119,-4.66650956753158,3.06359386558506e-06,0.00253274112854285
"SLC39A2",198.179337983787,-6.7527102887737,1.45152259124273,-4.6521565213755,3.28481591532337e-06,0.0025727024018909
"CPM",1422.81670252399,-4.21517068907172,0.913675713156219,-4.61342096367074,3.96094924795835e-06,0.00280680408375563
"PRRG1",201.235213072194,-2.8845209217516,0.62498081178202,-4.61537517212234,3.92385830194068e-06,0.00280680408375563
"IFIT2",2929.86185908137,-5.82700801881312,1.27449535096623,-4.57201198450471,4.83063302798366e-06,0.002875386003577
"CEACAM7",1040.55183488598,-6.55284266078877,1.42641349513448,-4.59392923800891,4.34976931598196e-06,0.002875386003577
"TMPRSS11E",6105.97388708464,-8.16327657841959,1.78535378339365,-4.57235795748148,4.82266141390723e-06,0.002875386003577
"FYB",2383.08464615863,-8.37194959007761,1.82885564181502,-4.577698424447,4.70119782816795e-06,0.002875386003577
"PCDHAC2",410.840683094674,2.85674762829113,0.626926720906398,4.55674887195891,5.19514753173153e-06,0.00292243644697607
"DUSP4",2552.64751907911,-4.46458724478732,0.980699684568861,-4.55245098477834,5.30245172154787e-06,0.00292243644697607
"HP",112.791565883925,-6.1187652501505,1.35431895718246,-4.51796470668922,6.24368879792913e-06,0.00318159979254366
"EVI2A",385.115219974441,-7.10868711297123,1.57784948291384,-4.5053011646228,6.62788747858703e-06,0.00318159979254366
"COL6A6",581.542585997305,-5.83691105022917,1.29174650210791,-4.51861959037963,6.22441127212086e-06,0.00318159979254366
"DDIT4L",247.295033443329,-4.56618563771018,1.01317161996265,-4.50682347170218,6.58053357481362e-06,0.00318159979254366
"NAIP",766.77872634945,-5.46268747134798,1.21885718974106,-4.48181092692944,7.40123022910237e-06,0.00344180334497726
"MROH9",139.982875207893,6.59228570063059,1.48195090673478,4.4483833240843,8.65190250136955e-06,0.003799705262089
"MS4A8",2056.15079302335,5.94228025789786,1.34433789565719,4.42022818600448,9.85967331582659e-06,0.003799705262089
"KIAA1551",5579.623605637,-5.82067262162636,1.31746706453319,-4.41807827939043,9.95823568452866e-06,0.003799705262089
"CHST5",146.356141418299,5.12063393953328,1.15241338221239,4.44340027508421,8.85482084026694e-06,0.003799705262089
"LRRC48",2978.70566518731,6.02118646773509,1.35969626086279,4.42833200402739,9.49646441185089e-06,0.003799705262089
"CX3CR1",169.716161373369,-5.05691551907525,1.14214050173615,-4.42757744024339,9.52973629431493e-06,0.003799705262089
"TMPRSS11A",1659.56163622502,-6.89912615282787,1.55597588238306,-4.43395442753359,9.25201913904382e-06,0.003799705262089
"IVL",1249.15181301673,-7.05224025151289,1.60337619974178,-4.39836904941499,1.09067402816518e-05,0.00388452000699701
"A2ML1",4324.10550203212,-6.48802379524538,1.47531842249925,-4.39771082384669,1.09398601812121e-05,0.00388452000699701
"IGSF6",1141.73439671089,-6.66914621706955,1.51666658153953,-4.39723951080919,1.0963634184119e-05,0.00388452000699701
"DNAH9",3406.1874386688,6.31139330944679,1.43722048717759,4.39138835394775,1.12629164772023e-05,0.00389775488598251
"CLEC7A",3360.11681312565,-5.40771702575392,1.23634569737343,-4.37395223459136,1.22017087778437e-05,0.00412667337097935
"C15orf26",634.98688981034,5.98262037865413,1.37019753357287,4.3662466411351,1.26399747280747e-05,0.00417989919841065
"MAP6",1847.79248133219,6.25292277323503,1.43532697013507,4.35644484033253,1.32191986459322e-05,0.00419559045224119
"BIN2",1537.27785509549,-5.95243611450709,1.36820937634296,-4.35053012896107,1.35808792217277e-05,0.00419559045224119
"MYO15A",116.930267209697,3.29110057067336,0.75713565743605,4.34677793649064,1.38151960325125e-05,0.00419559045224119
"FAM201A",125.496739539123,3.72197599493642,0.854706339591856,4.35468396866432,1.3325902773207e-05,0.00419559045224119
"ADRA2A",370.762522292837,6.0701415872679,1.39917617794944,4.33836830767374,1.43544456112838e-05,0.00427217010283029
"GBP5",2489.41935658514,-6.27732164937215,1.45055588413308,-4.32752830693164,1.50791970665324e-05,0.00432758684790977
"DSC2",1032.64860066708,-5.52044430209189,1.27684547681812,-4.32350225796213,1.53571565686934e-05,0.00432758684790977
"KCNE1",1708.95667891362,4.35609665817684,1.00772574149842,4.32270059083695,1.54130839956467e-05,0.00432758684790977
"FGL2",1030.5511103881,-6.76943856462622,1.5712511982055,-4.30831083683977,1.64506085228976e-05,0.00453336121165259
"HSPA7",278.246338842624,-6.45745288112364,1.50791758704861,-4.28236459113299,1.8491766380136e-05,0.00478420672649603
"TGM5",111.952927578196,-5.48441173796969,1.28125305961926,-4.28050625658561,1.86468644672246e-05,0.00478420672649603
"DDX60L",1684.52685689727,-5.40269574297602,1.26189902414101,-4.28140099930238,1.85720344778841e-05,0.00478420672649603
"ST8SIA4",1613.29674391826,-4.45348127346874,1.04007820472133,-4.28187154893989,1.85327958782344e-05,0.00478420672649603
"SLAMF7",465.952719768696,-4.61801139376681,1.08178987269628,-4.26886173583486,1.9647300188019e-05,0.0049554487135239
"HIF1A-AS2",1322.84773413166,-4.14611208261533,0.974322853345429,-4.2553780488462,2.08696090180691e-05,0.00500602416034152
"ALOX15P1",2195.59937776062,4.75594041571558,1.11702888345459,4.25767004431171,2.06568527363965e-05,0.00500602416034152
"SMCHD1",5530.52149804951,-5.63244193510256,1.32466125848221,-4.25198661094396,2.11882530865269e-05,0.00500602416034152
"TMPRSS11D",5017.65560519352,-5.04770323670094,1.1871552545804,-4.25193184903607,2.11934360662264e-05,0.00500602416034152
"DMRT3",304.013638326572,3.65661553143765,0.862170204922683,4.24117594247596,2.22351747074799e-05,0.00517002554409388
"AIM2",115.712140395977,-5.95765678596321,1.41011679228152,-4.22493854308615,2.39005993881604e-05,0.00530843014171963
"AOAH",548.768158266336,-6.27012882766447,1.48324534970442,-4.22730388395553,2.36508157683313e-05,0.00530843014171963
