"results","n_sig_deg","design","source_cell"
"res1.sig",8,"~ BAL_eos_ct_log + Batch","BAL_eos_ct >0"
"res2.sig",55,"~ BAL_eos_p_log + Batch","BAL_eos_p >0"
"res3.sig",551,"~ BAL_neut_ct_log + Batch","BAL_neut_ct >0"
"res4.sig",120,"~ BAL_neut_p_log + Batch","BAL_neut_p >0"
"res5.sig",467,"~ BAL_wbc_log + Batch","BAL_wbc >0"
"res6.sig",46,"~ blood_eos_log + Batch","blood_eos >0"
"res7.sig",27,"~ blood_eos_p_log + Batch","blood_eos_p >0"
"res8.sig",0,"~ blood_neut_log + Batch","blood_neut >0"
"res9.sig",0,"~ blood_neut_p_log + Batch","blood_neut_p >0"
"res10.sig",1,"~ blood_wbc_log + Batch","blood_wbc >0"
