"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TFF3",16763.2544540174,0.984079457948297,0.188355686471922,5.22458056022107,1.74550321709769e-07,0.000292371788863864
"RPL21",12693.3202252215,0.279118228824041,0.0616661801233912,4.52627726033198,6.0031808909239e-06,0.00335538564178879
"RPL21P28",12693.185378584,0.279110905667739,0.0616676628998655,4.52604967567772,6.00964592559187e-06,0.00335538564178879
"RPS6",23339.0424517704,0.217641551672246,0.0518623449596826,4.19652354403641,2.7104329729314e-05,0.0113499380741502
"SERPINF1",5922.9721669721,0.53977355080292,0.13644837007863,3.9558812647734,7.62530293538297e-05,0.025544764833533
