"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FEZ1",180.348163736472,-1.7436278222533,0.293828995205797,-5.9341584755176,2.95356443818971e-09,4.6831717731936e-05
"DUOX2",2636.62143252303,-1.98049280928889,0.384889019588313,-5.14562044770017,2.66638051856584e-07,0.00154354113023484
"OLFM1",63.3693855443057,-2.06105604138179,0.401881932865961,-5.1285113184454,2.92042343006088e-07,0.00154354113023484
"TNFRSF6B",672.191037016485,-2.92497565132225,0.602651479998524,-4.85351110616937,1.21294545630453e-06,0.00466990168707224
"LY6D",1686.28585044266,-2.61301258046694,0.542690893639405,-4.81491878911677,1.47259765611511e-06,0.00466990168707224
"CD177",1365.58932423572,-3.35679555687789,0.729655233467728,-4.60052282627307,4.21431833857297e-06,0.0111370385960688
"ZSCAN5A",523.886479580068,-0.516170467236487,0.114907024396343,-4.49207061054933,7.05340282594194e-06,0.0159769650297336
"PDZK1IP1",2579.74663467901,-1.6130801562455,0.37363662910422,-4.31724309287556,1.57990129138676e-05,0.0278343498624761
"C15orf26",2793.51064474009,-0.489559481992078,0.113329256442258,-4.31979788238979,1.56172170841663e-05,0.0278343498624761
"TTPA",64.8471625874281,1.07808516713087,0.251201857294909,4.2917085834489,1.7730354322532e-05,0.0281132498138068
"CES3",803.445039935193,-1.21897791416835,0.288433442809393,-4.22620172714817,2.3766894584879e-05,0.0342588982307128
"CD200R1",421.158391828167,1.78035317454013,0.428281910254969,4.15696561519544,3.22502507500264e-05,0.0426133313243682
"PRSS30P",41.1734651039785,-1.11650326407456,0.273526768766836,-4.08187933162151,4.46729908469592e-05,0.0482953833519748
"RTEL1-TNFRSF6B",1600.51035785205,-1.27791359959744,0.31347108301795,-4.0766554518978,4.56881149268178e-05,0.0482953833519748
"SLC6A20",397.654214895033,-1.30592419236874,0.320204393081374,-4.07840810615258,4.53451185593057e-05,0.0482953833519748
